,SE UniICD,System,Description
922,"8:424,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
923,8:425,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
924,8:601,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
925,8:710,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
926,"8:710,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
927,"8:710,3","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
928,"8:710,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
929,8:712,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
930,8:714,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
931,"8:714,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
932,8:717,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
933,8:720,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
934,8:723,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
935,"8:723,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
936,8:726,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
937,8:735,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
938,"8:735,0","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
939,"8:735,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
940,"8:735,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
941,8:781,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
942,8:998,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
943,9:010,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
944,9:010A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
945,9:010B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
946,9:010W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
947,9:010X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
948,9:011,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
949,9:011A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
950,9:011B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
951,9:011C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
952,9:011D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
953,9:011E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
954,9:011F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
955,9:011G,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
956,9:011H,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
957,9:011W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
958,9:011X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
959,9:012,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
960,9:012A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
961,9:012B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
962,9:012C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
963,9:012D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
964,9:012W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
965,9:013,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
966,9:013A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
967,9:013B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
968,9:013C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
969,9:013D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
970,9:013E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
971,9:013F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
972,9:013G,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
973,9:013W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
974,9:013X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
975,9:014,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
976,9:014A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
977,9:014W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
978,9:015,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
979,9:015A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
980,9:015B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
981,9:015C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
982,9:015F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
983,9:015G,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
984,9:015H,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
985,9:015W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
986,9:015X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
987,9:016,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
988,9:016A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
989,9:016B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
990,9:016C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
991,9:016D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
992,9:016E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
993,9:016F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
994,9:016G,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
995,9:016H,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
996,9:016X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
997,9:017,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
998,9:017A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
999,9:017B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1000,9:017C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1001,9:017D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1002,9:017E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1003,9:017F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1004,9:017G,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1005,9:017H,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1006,9:017W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1007,9:017X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1008,9:018,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1009,9:018A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1010,9:018W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1011,9:018X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1012,9:363,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1013,9:363B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1014,9:364,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1015,9:364B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1016,9:370,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1017,9:370D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1018,9:370F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1019,9:371A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1020,9:379,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1021,9:379A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1022,9:420,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1023,9:420A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1024,9:422,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1025,9:422A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1026,9:424,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1027,9:424X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1028,9:425,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1029,9:425W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1030,9:601,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1031,9:601E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1032,9:711,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1033,9:711E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1034,9:720,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1035,9:720W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1036,9:730,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1037,9:730W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1038,9:737,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1039,9:737E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
1040,10:P09,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1041,8:458,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1042,8:788,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1043,8:796,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1044,"8:796,9",Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1045,9:796,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1046,9:796G,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
1047,10:P10,Certain conditions originating in the perinatal period,Birth trauma
1048,10:P11,Certain conditions originating in the perinatal period,Birth trauma
1049,10:P12,Certain conditions originating in the perinatal period,Birth trauma
1050,10:P13,Certain conditions originating in the perinatal period,Birth trauma
1051,10:P14,Certain conditions originating in the perinatal period,Birth trauma
1052,10:P15,Certain conditions originating in the perinatal period,Birth trauma
1053,8:772,Certain conditions originating in the perinatal period,Birth trauma
1054,"8:772,0",Certain conditions originating in the perinatal period,Birth trauma
1055,"8:772,1",Certain conditions originating in the perinatal period,Birth trauma
1056,"8:772,2",Certain conditions originating in the perinatal period,Birth trauma
1057,"8:772,9",Certain conditions originating in the perinatal period,Birth trauma
1058,8:778,Certain conditions originating in the perinatal period,Birth trauma
1059,"8:778,2",Certain conditions originating in the perinatal period,Birth trauma
1060,9:767,Certain conditions originating in the perinatal period,Birth trauma
1061,9:767A,Certain conditions originating in the perinatal period,Birth trauma
1062,9:767B,Certain conditions originating in the perinatal period,Birth trauma
1063,9:767C,Certain conditions originating in the perinatal period,Birth trauma
1064,9:767D,Certain conditions originating in the perinatal period,Birth trauma
1065,9:767E,Certain conditions originating in the perinatal period,Birth trauma
1066,9:767F,Certain conditions originating in the perinatal period,Birth trauma
1067,9:767G,Certain conditions originating in the perinatal period,Birth trauma
1068,9:767H,Certain conditions originating in the perinatal period,Birth trauma
1069,9:767W,Certain conditions originating in the perinatal period,Birth trauma
1070,9:767X,Certain conditions originating in the perinatal period,Birth trauma
1071,9:772,Certain conditions originating in the perinatal period,Birth trauma
1072,9:772B,Certain conditions originating in the perinatal period,Birth trauma
1073,9:772C,Certain conditions originating in the perinatal period,Birth trauma
1074,10:P80,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1075,10:P81,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1076,10:P83,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1077,8:752,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1078,"8:752,4",Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1079,8:778,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1080,"8:778,3",Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1081,"8:778,9",Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1082,9:778,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1083,9:778A,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1084,9:778B,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1085,9:778C,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1086,9:778D,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1087,9:778E,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1088,9:778F,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1089,9:778G,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1090,9:778H,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1091,9:778W,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1092,9:778X,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
1093,10:P76,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1094,10:P77,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1095,10:P78,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1096,8:560,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1097,"8:560,1",Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1098,8:567,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1099,"8:567,9",Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1100,8:778,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1101,"8:778,2",Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1102,"8:778,9",Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1103,9:777,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1104,9:777B,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1105,9:777C,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1106,9:777D,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1107,9:777E,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1108,9:777F,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1109,9:777G,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1110,9:777W,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1111,9:777X,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
1112,10:P05,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1113,10:P07,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1114,10:P08,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1115,8:777,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1116,8:778,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1117,"8:778,1",Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1118,"8:778,9",Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1119,8:788,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1120,"8:788,4",Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1121,8:Y79,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1122,9:764,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1123,9:764A,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1124,9:764B,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1125,9:764C,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1126,9:764X,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1127,9:765,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1128,9:765A,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1129,9:765B,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1130,9:765C,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1131,9:766,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1132,9:766A,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1133,9:766B,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1134,9:766C,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1135,9:V21D,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
1136,10:P00,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1137,10:P01,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1138,10:P02,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1139,10:P03,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1140,10:P04,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1141,8:661,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1142,"8:661,4",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1143,"8:661,5",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1144,"8:661,6",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1145,8:760,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1146,"8:760,2",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1147,"8:760,3",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1148,"8:760,5",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1149,8:761,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1150,"8:761,6",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1151,"8:761,7",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1152,"8:761,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1153,8:763,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1154,"8:763,1",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1155,"8:763,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1156,8:765,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1157,"8:765,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1158,8:766,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1159,"8:766,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1160,8:767,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1161,"8:767,3",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1162,8:768,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1163,"8:768,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1164,8:769,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1165,"8:769,0",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1166,"8:769,1",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1167,"8:769,2",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1168,"8:769,4",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1169,"8:769,5",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1170,"8:769,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1171,8:770,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1172,"8:770,0",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1173,"8:770,1",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1174,"8:770,8",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1175,"8:770,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1176,8:771,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1177,"8:771,0",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1178,"8:771,1",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1179,"8:771,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1180,8:772,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1181,"8:772,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1182,8:778,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1183,"8:778,9",Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1184,8:Y61,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1185,9:760,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1186,9:760A,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1187,9:760B,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1188,9:760C,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1189,9:760D,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1190,9:760E,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1191,9:760F,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1192,9:760G,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1193,9:760H,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1194,9:760W,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1195,9:760X,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1196,9:761,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1197,9:761A,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1198,9:761B,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1199,9:761C,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1200,9:761D,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1201,9:761E,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1202,9:761F,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1203,9:761G,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1204,9:761H,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1205,9:761W,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1206,9:761X,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1207,9:762,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1208,9:762A,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1209,9:762B,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1210,9:762C,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1211,9:762D,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1212,9:762E,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1213,9:762F,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1214,9:762G,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1215,9:762H,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1216,9:762W,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1217,9:762X,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1218,9:763,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1219,9:763A,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
1220,9:763B,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
