,US UniICD,System,Description
3346,9:289,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3347,9:2890,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3348,9:2894,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3349,9:2895,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3350,9:28950,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3351,9:28951,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3352,9:28953,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3353,9:28959,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3354,9:2896,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3355,9:2897,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3356,9:2898,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3357,9:28983,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3358,9:28984,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3359,9:28989,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3360,9:2899,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
3361,10:I00,Diseases of the circulatory system,Acute rheumatic fever
3362,10:I01,Diseases of the circulatory system,Acute rheumatic fever
3363,10:I02,Diseases of the circulatory system,Acute rheumatic fever
3364,8:390,Diseases of the circulatory system,Acute rheumatic fever
3365,8:391,Diseases of the circulatory system,Acute rheumatic fever
3366,8:391.0,Diseases of the circulatory system,Acute rheumatic fever
3367,8:391.1,Diseases of the circulatory system,Acute rheumatic fever
3368,8:391.2,Diseases of the circulatory system,Acute rheumatic fever
3369,8:391.9,Diseases of the circulatory system,Acute rheumatic fever
3370,8:392,Diseases of the circulatory system,Acute rheumatic fever
3371,8:392.0,Diseases of the circulatory system,Acute rheumatic fever
3372,8:392.9,Diseases of the circulatory system,Acute rheumatic fever
3373,9:390,Diseases of the circulatory system,Acute rheumatic fever
3374,9:391,Diseases of the circulatory system,Acute rheumatic fever
3375,9:3910,Diseases of the circulatory system,Acute rheumatic fever
3376,9:3911,Diseases of the circulatory system,Acute rheumatic fever
3377,9:3912,Diseases of the circulatory system,Acute rheumatic fever
3378,9:3918,Diseases of the circulatory system,Acute rheumatic fever
3379,9:3919,Diseases of the circulatory system,Acute rheumatic fever
3380,9:392,Diseases of the circulatory system,Acute rheumatic fever
3381,9:3920,Diseases of the circulatory system,Acute rheumatic fever
3382,9:3929,Diseases of the circulatory system,Acute rheumatic fever
3383,10:I60,Diseases of the circulatory system,Cerebrovascular diseases
3384,10:I61,Diseases of the circulatory system,Cerebrovascular diseases
3385,10:I62,Diseases of the circulatory system,Cerebrovascular diseases
3386,10:I63,Diseases of the circulatory system,Cerebrovascular diseases
3387,10:I65,Diseases of the circulatory system,Cerebrovascular diseases
3388,10:I66,Diseases of the circulatory system,Cerebrovascular diseases
3389,10:I67,Diseases of the circulatory system,Cerebrovascular diseases
3390,10:I68,Diseases of the circulatory system,Cerebrovascular diseases
3391,10:I69,Diseases of the circulatory system,Cerebrovascular diseases
3392,8:065,Diseases of the circulatory system,Cerebrovascular diseases
3393,8:333,Diseases of the circulatory system,Cerebrovascular diseases
3394,8:333.1,Diseases of the circulatory system,Cerebrovascular diseases
3395,8:347,Diseases of the circulatory system,Cerebrovascular diseases
3396,8:430,Diseases of the circulatory system,Cerebrovascular diseases
3397,8:430.9,Diseases of the circulatory system,Cerebrovascular diseases
3398,8:431,Diseases of the circulatory system,Cerebrovascular diseases
3399,8:431.9,Diseases of the circulatory system,Cerebrovascular diseases
3400,8:432,Diseases of the circulatory system,Cerebrovascular diseases
3401,8:432.0,Diseases of the circulatory system,Cerebrovascular diseases
3402,8:432.9,Diseases of the circulatory system,Cerebrovascular diseases
3403,8:433,Diseases of the circulatory system,Cerebrovascular diseases
3404,8:433.9,Diseases of the circulatory system,Cerebrovascular diseases
3405,8:434,Diseases of the circulatory system,Cerebrovascular diseases
3406,8:434.9,Diseases of the circulatory system,Cerebrovascular diseases
3407,8:435,Diseases of the circulatory system,Cerebrovascular diseases
3408,8:435.9,Diseases of the circulatory system,Cerebrovascular diseases
3409,8:436,Diseases of the circulatory system,Cerebrovascular diseases
3410,8:436.0,Diseases of the circulatory system,Cerebrovascular diseases
3411,8:436.9,Diseases of the circulatory system,Cerebrovascular diseases
3412,8:437,Diseases of the circulatory system,Cerebrovascular diseases
3413,8:437.9,Diseases of the circulatory system,Cerebrovascular diseases
3414,8:438,Diseases of the circulatory system,Cerebrovascular diseases
3415,8:438.9,Diseases of the circulatory system,Cerebrovascular diseases
3416,8:442,Diseases of the circulatory system,Cerebrovascular diseases
3417,8:443,Diseases of the circulatory system,Cerebrovascular diseases
3418,8:443.8,Diseases of the circulatory system,Cerebrovascular diseases
3419,8:781,Diseases of the circulatory system,Cerebrovascular diseases
3420,8:781.7,Diseases of the circulatory system,Cerebrovascular diseases
3421,9:046,Diseases of the circulatory system,Cerebrovascular diseases
3422,9:0463,Diseases of the circulatory system,Cerebrovascular diseases
3423,9:348,Diseases of the circulatory system,Cerebrovascular diseases
3424,9:3483,Diseases of the circulatory system,Cerebrovascular diseases
3425,9:34839,Diseases of the circulatory system,Cerebrovascular diseases
3426,9:430,Diseases of the circulatory system,Cerebrovascular diseases
3427,9:431,Diseases of the circulatory system,Cerebrovascular diseases
3428,9:432,Diseases of the circulatory system,Cerebrovascular diseases
3429,9:4320,Diseases of the circulatory system,Cerebrovascular diseases
3430,9:4321,Diseases of the circulatory system,Cerebrovascular diseases
3431,9:4329,Diseases of the circulatory system,Cerebrovascular diseases
3432,9:433,Diseases of the circulatory system,Cerebrovascular diseases
3433,9:4330,Diseases of the circulatory system,Cerebrovascular diseases
3434,9:43300,Diseases of the circulatory system,Cerebrovascular diseases
3435,9:43301,Diseases of the circulatory system,Cerebrovascular diseases
3436,9:4331,Diseases of the circulatory system,Cerebrovascular diseases
3437,9:43310,Diseases of the circulatory system,Cerebrovascular diseases
3438,9:43311,Diseases of the circulatory system,Cerebrovascular diseases
3439,9:4332,Diseases of the circulatory system,Cerebrovascular diseases
3440,9:43320,Diseases of the circulatory system,Cerebrovascular diseases
3441,9:43321,Diseases of the circulatory system,Cerebrovascular diseases
3442,9:4333,Diseases of the circulatory system,Cerebrovascular diseases
3443,9:43330,Diseases of the circulatory system,Cerebrovascular diseases
3444,9:43331,Diseases of the circulatory system,Cerebrovascular diseases
3445,9:4338,Diseases of the circulatory system,Cerebrovascular diseases
3446,9:43380,Diseases of the circulatory system,Cerebrovascular diseases
3447,9:43381,Diseases of the circulatory system,Cerebrovascular diseases
3448,9:4339,Diseases of the circulatory system,Cerebrovascular diseases
3449,9:43390,Diseases of the circulatory system,Cerebrovascular diseases
3450,9:43391,Diseases of the circulatory system,Cerebrovascular diseases
3451,9:434,Diseases of the circulatory system,Cerebrovascular diseases
3452,9:4340,Diseases of the circulatory system,Cerebrovascular diseases
3453,9:43400,Diseases of the circulatory system,Cerebrovascular diseases
3454,9:43401,Diseases of the circulatory system,Cerebrovascular diseases
3455,9:4341,Diseases of the circulatory system,Cerebrovascular diseases
3456,9:43410,Diseases of the circulatory system,Cerebrovascular diseases
3457,9:43411,Diseases of the circulatory system,Cerebrovascular diseases
3458,9:4349,Diseases of the circulatory system,Cerebrovascular diseases
3459,9:43490,Diseases of the circulatory system,Cerebrovascular diseases
3460,9:43491,Diseases of the circulatory system,Cerebrovascular diseases
3461,9:435,Diseases of the circulatory system,Cerebrovascular diseases
3462,9:4359,Diseases of the circulatory system,Cerebrovascular diseases
3463,9:436,Diseases of the circulatory system,Cerebrovascular diseases
3464,9:437,Diseases of the circulatory system,Cerebrovascular diseases
3465,9:4370,Diseases of the circulatory system,Cerebrovascular diseases
3466,9:4371,Diseases of the circulatory system,Cerebrovascular diseases
3467,9:4372,Diseases of the circulatory system,Cerebrovascular diseases
3468,9:4373,Diseases of the circulatory system,Cerebrovascular diseases
3469,9:4374,Diseases of the circulatory system,Cerebrovascular diseases
3470,9:4375,Diseases of the circulatory system,Cerebrovascular diseases
3471,9:4376,Diseases of the circulatory system,Cerebrovascular diseases
3472,9:4378,Diseases of the circulatory system,Cerebrovascular diseases
3473,9:4379,Diseases of the circulatory system,Cerebrovascular diseases
3474,9:438,Diseases of the circulatory system,Cerebrovascular diseases
3475,9:4380,Diseases of the circulatory system,Cerebrovascular diseases
3476,9:4381,Diseases of the circulatory system,Cerebrovascular diseases
3477,9:43810,Diseases of the circulatory system,Cerebrovascular diseases
3478,9:43811,Diseases of the circulatory system,Cerebrovascular diseases
3479,9:43812,Diseases of the circulatory system,Cerebrovascular diseases
3480,9:43813,Diseases of the circulatory system,Cerebrovascular diseases
3481,9:43814,Diseases of the circulatory system,Cerebrovascular diseases
3482,9:43819,Diseases of the circulatory system,Cerebrovascular diseases
3483,9:4382,Diseases of the circulatory system,Cerebrovascular diseases
3484,9:43820,Diseases of the circulatory system,Cerebrovascular diseases
3485,9:43821,Diseases of the circulatory system,Cerebrovascular diseases
3486,9:43822,Diseases of the circulatory system,Cerebrovascular diseases
3487,9:4383,Diseases of the circulatory system,Cerebrovascular diseases
3488,9:43830,Diseases of the circulatory system,Cerebrovascular diseases
3489,9:43831,Diseases of the circulatory system,Cerebrovascular diseases
3490,9:43832,Diseases of the circulatory system,Cerebrovascular diseases
3491,9:4384,Diseases of the circulatory system,Cerebrovascular diseases
3492,9:43840,Diseases of the circulatory system,Cerebrovascular diseases
3493,9:43841,Diseases of the circulatory system,Cerebrovascular diseases
3494,9:43842,Diseases of the circulatory system,Cerebrovascular diseases
3495,9:4385,Diseases of the circulatory system,Cerebrovascular diseases
3496,9:43850,Diseases of the circulatory system,Cerebrovascular diseases
3497,9:43851,Diseases of the circulatory system,Cerebrovascular diseases
3498,9:43852,Diseases of the circulatory system,Cerebrovascular diseases
3499,9:43853,Diseases of the circulatory system,Cerebrovascular diseases
3500,9:4386,Diseases of the circulatory system,Cerebrovascular diseases
3501,9:4387,Diseases of the circulatory system,Cerebrovascular diseases
3502,9:4388,Diseases of the circulatory system,Cerebrovascular diseases
3503,9:43881,Diseases of the circulatory system,Cerebrovascular diseases
3504,9:43882,Diseases of the circulatory system,Cerebrovascular diseases
3505,9:43883,Diseases of the circulatory system,Cerebrovascular diseases
3506,9:43884,Diseases of the circulatory system,Cerebrovascular diseases
3507,9:43885,Diseases of the circulatory system,Cerebrovascular diseases
3508,9:43889,Diseases of the circulatory system,Cerebrovascular diseases
3509,9:4389,Diseases of the circulatory system,Cerebrovascular diseases
3510,9:443,Diseases of the circulatory system,Cerebrovascular diseases
3511,9:4432,Diseases of the circulatory system,Cerebrovascular diseases
3512,9:44329,Diseases of the circulatory system,Cerebrovascular diseases
3513,10:I05,Diseases of the circulatory system,Chronic rheumatic heart diseases
3514,10:I06,Diseases of the circulatory system,Chronic rheumatic heart diseases
3515,10:I07,Diseases of the circulatory system,Chronic rheumatic heart diseases
3516,10:I08,Diseases of the circulatory system,Chronic rheumatic heart diseases
3517,10:I09,Diseases of the circulatory system,Chronic rheumatic heart diseases
3518,8:393,Diseases of the circulatory system,Chronic rheumatic heart diseases
3519,8:394,Diseases of the circulatory system,Chronic rheumatic heart diseases
3520,8:394.0,Diseases of the circulatory system,Chronic rheumatic heart diseases
3521,8:394.9,Diseases of the circulatory system,Chronic rheumatic heart diseases
3522,8:395,Diseases of the circulatory system,Chronic rheumatic heart diseases
3523,8:395.0,Diseases of the circulatory system,Chronic rheumatic heart diseases
3524,8:396,Diseases of the circulatory system,Chronic rheumatic heart diseases
3525,8:396.9,Diseases of the circulatory system,Chronic rheumatic heart diseases
3526,8:397,Diseases of the circulatory system,Chronic rheumatic heart diseases
3527,8:397.0,Diseases of the circulatory system,Chronic rheumatic heart diseases
3528,8:397.9,Diseases of the circulatory system,Chronic rheumatic heart diseases
3529,8:398,Diseases of the circulatory system,Chronic rheumatic heart diseases
3530,9:393,Diseases of the circulatory system,Chronic rheumatic heart diseases
3531,9:394,Diseases of the circulatory system,Chronic rheumatic heart diseases
3532,9:3940,Diseases of the circulatory system,Chronic rheumatic heart diseases
3533,9:3941,Diseases of the circulatory system,Chronic rheumatic heart diseases
3534,9:3942,Diseases of the circulatory system,Chronic rheumatic heart diseases
3535,9:3949,Diseases of the circulatory system,Chronic rheumatic heart diseases
3536,9:395,Diseases of the circulatory system,Chronic rheumatic heart diseases
3537,9:3950,Diseases of the circulatory system,Chronic rheumatic heart diseases
3538,9:3951,Diseases of the circulatory system,Chronic rheumatic heart diseases
3539,9:3952,Diseases of the circulatory system,Chronic rheumatic heart diseases
3540,9:3959,Diseases of the circulatory system,Chronic rheumatic heart diseases
3541,9:396,Diseases of the circulatory system,Chronic rheumatic heart diseases
3542,9:3960,Diseases of the circulatory system,Chronic rheumatic heart diseases
3543,9:3961,Diseases of the circulatory system,Chronic rheumatic heart diseases
3544,9:3962,Diseases of the circulatory system,Chronic rheumatic heart diseases
3545,9:3963,Diseases of the circulatory system,Chronic rheumatic heart diseases
3546,9:3968,Diseases of the circulatory system,Chronic rheumatic heart diseases
3547,9:3969,Diseases of the circulatory system,Chronic rheumatic heart diseases
3548,9:397,Diseases of the circulatory system,Chronic rheumatic heart diseases
3549,9:3970,Diseases of the circulatory system,Chronic rheumatic heart diseases
3550,9:3971,Diseases of the circulatory system,Chronic rheumatic heart diseases
3551,9:3979,Diseases of the circulatory system,Chronic rheumatic heart diseases
3552,9:398,Diseases of the circulatory system,Chronic rheumatic heart diseases
3553,9:3980,Diseases of the circulatory system,Chronic rheumatic heart diseases
3554,9:3989,Diseases of the circulatory system,Chronic rheumatic heart diseases
3555,9:39890,Diseases of the circulatory system,Chronic rheumatic heart diseases
3556,9:39891,Diseases of the circulatory system,Chronic rheumatic heart diseases
3557,9:39899,Diseases of the circulatory system,Chronic rheumatic heart diseases
3558,10:I70,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3559,10:I71,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3560,10:I72,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3561,10:I73,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3562,10:I74,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3563,10:I75,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3564,10:I76,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3565,10:I77,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3566,10:I78,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3567,10:I79,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3568,8:427,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3569,8:440,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3570,8:440.0,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3571,8:440.1,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3572,8:440.2,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3573,8:440.3,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3574,8:440.9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3575,8:441,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3576,8:441.0,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3577,8:441.1,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3578,8:441.2,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3579,8:441.9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3580,8:442,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3581,8:443,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3582,8:443.0,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3583,8:443.1,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3584,8:443.8,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3585,8:443.9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3586,8:444,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3587,8:444.0,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3588,8:444.1,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3589,8:444.3,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3590,8:444.4,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3591,8:444.9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3592,8:445,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3593,8:445.9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3594,8:447,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3595,8:448,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3596,8:707,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3597,8:707.1,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3598,8:707.9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3599,8:782,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3600,8:788,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3601,9:440,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3602,9:4400,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3603,9:4401,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3604,9:4402,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3605,9:44020,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3606,9:44021,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3607,9:44022,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3608,9:44023,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3609,9:44024,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3610,9:44029,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3611,9:4403,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3612,9:44030,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3613,9:44031,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3614,9:44032,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3615,9:4404,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3616,9:4408,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3617,9:4409,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3618,9:441,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3619,9:4410,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3620,9:44100,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3621,9:44101,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3622,9:44102,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3623,9:44103,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3624,9:4411,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3625,9:4412,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3626,9:4413,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3627,9:4414,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3628,9:4415,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3629,9:4416,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3630,9:4417,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3631,9:4419,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3632,9:442,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3633,9:4420,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3634,9:4421,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3635,9:4422,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3636,9:4423,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3637,9:4428,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3638,9:44281,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3639,9:44282,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3640,9:44283,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3641,9:44284,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3642,9:44289,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3643,9:4429,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3644,9:443,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3645,9:4430,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3646,9:4431,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3647,9:4432,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3648,9:44321,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3649,9:44322,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3650,9:44323,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3651,9:44324,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3652,9:44329,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3653,9:4438,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3654,9:44381,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3655,9:44382,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3656,9:44389,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3657,9:4439,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3658,9:444,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3659,9:4440,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3660,9:44401,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3661,9:44409,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3662,9:4441,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3663,9:4442,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3664,9:44421,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3665,9:44422,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3666,9:4448,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3667,9:44481,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3668,9:44489,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3669,9:4449,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3670,9:445,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3671,9:4450,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3672,9:44501,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3673,9:44502,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3674,9:4458,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3675,9:44581,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3676,9:44589,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3677,9:447,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3678,9:4470,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3679,9:4471,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3680,9:4472,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3681,9:4473,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3682,9:4474,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3683,9:4475,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3684,9:4476,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3685,9:4477,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3686,9:44770,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3687,9:44771,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3688,9:44772,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3689,9:44773,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3690,9:4478,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3691,9:4479,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3692,9:448,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3693,9:4480,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3694,9:4481,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3695,9:4489,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3696,9:449,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3697,9:707,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3698,9:7071,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3699,9:70711,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3700,9:70712,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3701,9:70713,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3702,9:70714,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3703,9:70715,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3704,9:70719,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3705,9:7079,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3706,9:785,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3707,9:7854,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
3708,10:I80,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3709,10:I81,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3710,10:I82,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3711,10:I83,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3712,10:I85,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3713,10:I86,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3714,10:I87,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3715,10:I88,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3716,10:I89,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
3717,8:289,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
