ICD10,System,Description
G08,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G09,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G10,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system
G11,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system
G12,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system
G13,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system
G14,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system
G20,Diseases of the nervous system,Extrapyramidal and movement disorders
G21,Diseases of the nervous system,Extrapyramidal and movement disorders
G22,Diseases of the nervous system,Extrapyramidal and movement disorders
G23,Diseases of the nervous system,Extrapyramidal and movement disorders
G24,Diseases of the nervous system,Extrapyramidal and movement disorders
G25,Diseases of the nervous system,Extrapyramidal and movement disorders
G26,Diseases of the nervous system,Extrapyramidal and movement disorders
G30,Diseases of the nervous system,Other degenerative diseases of the nervous system
G31,Diseases of the nervous system,Other degenerative diseases of the nervous system
G32,Diseases of the nervous system,Other degenerative diseases of the nervous system
G35,Diseases of the nervous system,Demyelinating diseases of the central nervous system
G36,Diseases of the nervous system,Demyelinating diseases of the central nervous system
G37,Diseases of the nervous system,Demyelinating diseases of the central nervous system
G40,Diseases of the nervous system,Episodic and paroxysmal disorders
G41,Diseases of the nervous system,Episodic and paroxysmal disorders
G42,Diseases of the nervous system,Episodic and paroxysmal disorders
G43,Diseases of the nervous system,Episodic and paroxysmal disorders
G44,Diseases of the nervous system,Episodic and paroxysmal disorders
G45,Diseases of the nervous system,Episodic and paroxysmal disorders
G46,Diseases of the nervous system,Episodic and paroxysmal disorders
G47,Diseases of the nervous system,Episodic and paroxysmal disorders
G50,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G51,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G52,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G53,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G54,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G55,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G56,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G57,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G58,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G59,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G60,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G61,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G62,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G63,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G64,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G65,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
G70,Diseases of the nervous system,Diseases of myoneural junction and muscle
G71,Diseases of the nervous system,Diseases of myoneural junction and muscle
G72,Diseases of the nervous system,Diseases of myoneural junction and muscle
G73,Diseases of the nervous system,Diseases of myoneural junction and muscle
G80,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
G81,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
G82,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
G83,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
G89,Diseases of the nervous system,Other disorders of the nervous system
G90,Diseases of the nervous system,Other disorders of the nervous system
G91,Diseases of the nervous system,Other disorders of the nervous system
G92,Diseases of the nervous system,Other disorders of the nervous system
G93,Diseases of the nervous system,Other disorders of the nervous system
G94,Diseases of the nervous system,Other disorders of the nervous system
G95,Diseases of the nervous system,Other disorders of the nervous system
G96,Diseases of the nervous system,Other disorders of the nervous system
G97,Diseases of the nervous system,Other disorders of the nervous system
G98,Diseases of the nervous system,Other disorders of the nervous system
G99,Diseases of the nervous system,Other disorders of the nervous system
H00,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H01,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H02,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H03,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H04,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H05,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H06,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H10,Diseases of the eye and adnexa,Disorders of conjunctiva
H11,Diseases of the eye and adnexa,Disorders of conjunctiva
H12,Diseases of the eye and adnexa,Disorders of conjunctiva
H13,Diseases of the eye and adnexa,Disorders of conjunctiva
H15,Diseases of the eye and adnexa,Disorders of sclera and cornea
H16,Diseases of the eye and adnexa,Disorders of sclera and cornea
H17,Diseases of the eye and adnexa,Disorders of sclera and cornea
H18,Diseases of the eye and adnexa,Disorders of sclera and cornea
H19,Diseases of the eye and adnexa,Disorders of sclera and cornea
H20,Diseases of the eye and adnexa,Disorders of iris and ciliary body
H21,Diseases of the eye and adnexa,Disorders of iris and ciliary body
H22,Diseases of the eye and adnexa,Disorders of iris and ciliary body
H25,Diseases of the eye and adnexa,Disorders of lens
H26,Diseases of the eye and adnexa,Disorders of lens
H27,Diseases of the eye and adnexa,Disorders of lens
H28,Diseases of the eye and adnexa,Disorders of lens
H30,Diseases of the eye and adnexa,Disorders of choroid and retina
H31,Diseases of the eye and adnexa,Disorders of choroid and retina
H32,Diseases of the eye and adnexa,Disorders of choroid and retina
H33,Diseases of the eye and adnexa,Disorders of choroid and retina
H34,Diseases of the eye and adnexa,Disorders of choroid and retina
H35,Diseases of the eye and adnexa,Disorders of choroid and retina
H36,Diseases of the eye and adnexa,Disorders of choroid and retina
H40,Diseases of the eye and adnexa,Glaucoma
H41,Diseases of the eye and adnexa,Glaucoma
H42,Diseases of the eye and adnexa,Glaucoma
H43,Diseases of the eye and adnexa,Disorders of vitreous body and globe
H44,Diseases of the eye and adnexa,Disorders of vitreous body and globe
H45,Diseases of the eye and adnexa,Disorders of vitreous body and globe
H46,Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways
H47,Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways
H48,Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways
H49,Diseases of the eye and adnexa,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H50,Diseases of the eye and adnexa,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H51,Diseases of the eye and adnexa,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H52,Diseases of the eye and adnexa,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H53,Diseases of the eye and adnexa,Visual disturbances and blindness
H54,Diseases of the eye and adnexa,Visual disturbances and blindness
H55,Diseases of the eye and adnexa,Other disorders of eye and adnexa
H56,Diseases of the eye and adnexa,Other disorders of eye and adnexa
H57,Diseases of the eye and adnexa,Other disorders of eye and adnexa
H58,Diseases of the eye and adnexa,Other disorders of eye and adnexa
H59,Diseases of the eye and adnexa,Other disorders of eye and adnexa
H60,Diseases of the ear and mastoid process,Diseases of external ear
H61,Diseases of the ear and mastoid process,Diseases of external ear
H62,Diseases of the ear and mastoid process,Diseases of external ear
H65,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H66,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H67,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H68,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H69,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H70,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H71,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H72,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H73,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H74,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H75,Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
H80,Diseases of the ear and mastoid process,Diseases of inner ear
H81,Diseases of the ear and mastoid process,Diseases of inner ear
H82,Diseases of the ear and mastoid process,Diseases of inner ear
H83,Diseases of the ear and mastoid process,Diseases of inner ear
H90,Diseases of the ear and mastoid process,Other disorders of ear
H91,Diseases of the ear and mastoid process,Other disorders of ear
H92,Diseases of the ear and mastoid process,Other disorders of ear
H93,Diseases of the ear and mastoid process,Other disorders of ear
H94,Diseases of the ear and mastoid process,Other disorders of ear
H95,Diseases of the ear and mastoid process,Other disorders of ear
I00,Diseases of the circulatory system,Acute rheumatic fever
I01,Diseases of the circulatory system,Acute rheumatic fever
I02,Diseases of the circulatory system,Acute rheumatic fever
I05,Diseases of the circulatory system,Chronic rheumatic heart diseases
I06,Diseases of the circulatory system,Chronic rheumatic heart diseases
I07,Diseases of the circulatory system,Chronic rheumatic heart diseases
I08,Diseases of the circulatory system,Chronic rheumatic heart diseases
I09,Diseases of the circulatory system,Chronic rheumatic heart diseases
I10,Diseases of the circulatory system,Hypertensive diseases
I11,Diseases of the circulatory system,Hypertensive diseases
I12,Diseases of the circulatory system,Hypertensive diseases
I13,Diseases of the circulatory system,Hypertensive diseases
I14,Diseases of the circulatory system,Hypertensive diseases
I15,Diseases of the circulatory system,Hypertensive diseases
I20,Diseases of the circulatory system,Ischemic heart diseases
I21,Diseases of the circulatory system,Ischemic heart diseases
I22,Diseases of the circulatory system,Ischemic heart diseases
I23,Diseases of the circulatory system,Ischemic heart diseases
I24,Diseases of the circulatory system,Ischemic heart diseases
I25,Diseases of the circulatory system,Ischemic heart diseases
I26,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I27,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I28,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I30,Diseases of the circulatory system,Other forms of heart disease
I31,Diseases of the circulatory system,Other forms of heart disease
I32,Diseases of the circulatory system,Other forms of heart disease
I33,Diseases of the circulatory system,Other forms of heart disease
I34,Diseases of the circulatory system,Other forms of heart disease
I35,Diseases of the circulatory system,Other forms of heart disease
I36,Diseases of the circulatory system,Other forms of heart disease
I37,Diseases of the circulatory system,Other forms of heart disease
I38,Diseases of the circulatory system,Other forms of heart disease
I39,Diseases of the circulatory system,Other forms of heart disease
I40,Diseases of the circulatory system,Other forms of heart disease
I41,Diseases of the circulatory system,Other forms of heart disease
I42,Diseases of the circulatory system,Other forms of heart disease
I43,Diseases of the circulatory system,Other forms of heart disease
I44,Diseases of the circulatory system,Other forms of heart disease
I45,Diseases of the circulatory system,Other forms of heart disease
I46,Diseases of the circulatory system,Other forms of heart disease
I47,Diseases of the circulatory system,Other forms of heart disease
I48,Diseases of the circulatory system,Other forms of heart disease
I49,Diseases of the circulatory system,Other forms of heart disease
I50,Diseases of the circulatory system,Other forms of heart disease
I51,Diseases of the circulatory system,Other forms of heart disease
I52,Diseases of the circulatory system,Other forms of heart disease
I60,Diseases of the circulatory system,Cerebrovascular diseases
I61,Diseases of the circulatory system,Cerebrovascular diseases
I62,Diseases of the circulatory system,Cerebrovascular diseases
I63,Diseases of the circulatory system,Cerebrovascular diseases
I64,Diseases of the circulatory system,Cerebrovascular diseases
I65,Diseases of the circulatory system,Cerebrovascular diseases
I66,Diseases of the circulatory system,Cerebrovascular diseases
I67,Diseases of the circulatory system,Cerebrovascular diseases
I68,Diseases of the circulatory system,Cerebrovascular diseases
I69,Diseases of the circulatory system,Cerebrovascular diseases
I70,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I71,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I72,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I73,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I74,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I75,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I76,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I77,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I78,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I79,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I80,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I81,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I82,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I83,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I84,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I85,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I86,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I87,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I88,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I89,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I95,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I96,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I97,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I98,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I99,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
J00,Diseases of the respiratory system,Acute upper respiratory infections
J01,Diseases of the respiratory system,Acute upper respiratory infections
J02,Diseases of the respiratory system,Acute upper respiratory infections
J03,Diseases of the respiratory system,Acute upper respiratory infections
J04,Diseases of the respiratory system,Acute upper respiratory infections
J05,Diseases of the respiratory system,Acute upper respiratory infections
J06,Diseases of the respiratory system,Acute upper respiratory infections
J09,Diseases of the respiratory system,Influenza and Pneumonia
J10,Diseases of the respiratory system,Influenza and Pneumonia
J11,Diseases of the respiratory system,Influenza and Pneumonia
J12,Diseases of the respiratory system,Influenza and Pneumonia
J13,Diseases of the respiratory system,Influenza and Pneumonia
J14,Diseases of the respiratory system,Influenza and Pneumonia
J15,Diseases of the respiratory system,Influenza and Pneumonia
J16,Diseases of the respiratory system,Influenza and Pneumonia
J17,Diseases of the respiratory system,Influenza and Pneumonia
J18,Diseases of the respiratory system,Influenza and Pneumonia
J20,Diseases of the respiratory system,Other acute lower respiratory infections
J21,Diseases of the respiratory system,Other acute lower respiratory infections
J22,Diseases of the respiratory system,Other acute lower respiratory infections
J30,Diseases of the respiratory system,Other diseases of upper respiratory tract
J31,Diseases of the respiratory system,Other diseases of upper respiratory tract
J32,Diseases of the respiratory system,Other diseases of upper respiratory tract
J33,Diseases of the respiratory system,Other diseases of upper respiratory tract
J34,Diseases of the respiratory system,Other diseases of upper respiratory tract
J35,Diseases of the respiratory system,Other diseases of upper respiratory tract
J36,Diseases of the respiratory system,Other diseases of upper respiratory tract
J37,Diseases of the respiratory system,Other diseases of upper respiratory tract
J38,Diseases of the respiratory system,Other diseases of upper respiratory tract
J39,Diseases of the respiratory system,Other diseases of upper respiratory tract
J40,Diseases of the respiratory system,Chronic lower respiratory diseases
J41,Diseases of the respiratory system,Chronic lower respiratory diseases
J42,Diseases of the respiratory system,Chronic lower respiratory diseases
J43,Diseases of the respiratory system,Chronic lower respiratory diseases
J44,Diseases of the respiratory system,Chronic lower respiratory diseases
J45,Diseases of the respiratory system,Chronic lower respiratory diseases
J46,Diseases of the respiratory system,Chronic lower respiratory diseases
J47,Diseases of the respiratory system,Chronic lower respiratory diseases
J60,Diseases of the respiratory system,Lung diseases due to external agents
J61,Diseases of the respiratory system,Lung diseases due to external agents
J62,Diseases of the respiratory system,Lung diseases due to external agents
J63,Diseases of the respiratory system,Lung diseases due to external agents
J64,Diseases of the respiratory system,Lung diseases due to external agents
J65,Diseases of the respiratory system,Lung diseases due to external agents
J66,Diseases of the respiratory system,Lung diseases due to external agents
J67,Diseases of the respiratory system,Lung diseases due to external agents
J68,Diseases of the respiratory system,Lung diseases due to external agents
J69,Diseases of the respiratory system,Lung diseases due to external agents
J70,Diseases of the respiratory system,Lung diseases due to external agents
J80,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J81,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J82,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J83,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J84,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J85,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract
J86,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract
J90,Diseases of the respiratory system,Other diseases of pleura
J91,Diseases of the respiratory system,Other diseases of pleura
J92,Diseases of the respiratory system,Other diseases of pleura
J93,Diseases of the respiratory system,Other diseases of pleura
J94,Diseases of the respiratory system,Other diseases of pleura
J95,Diseases of the respiratory system,Other diseases of the respiratory system
J96,Diseases of the respiratory system,Other diseases of the respiratory system
J97,Diseases of the respiratory system,Other diseases of the respiratory system
J98,Diseases of the respiratory system,Other diseases of the respiratory system
J99,Diseases of the respiratory system,Other diseases of the respiratory system
K00,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K01,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K02,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K03,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K04,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K05,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K06,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K07,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K08,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K09,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K10,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K11,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K12,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K13,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K14,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K20,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K21,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K22,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K23,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K24,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K25,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K26,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K27,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K28,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K29,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K30,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K31,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K35,Diseases of the digestive system,Diseases of appendix
K36,Diseases of the digestive system,Diseases of appendix
K37,Diseases of the digestive system,Diseases of appendix
K38,Diseases of the digestive system,Diseases of appendix
K40,Diseases of the digestive system,Hernia
K41,Diseases of the digestive system,Hernia
K42,Diseases of the digestive system,Hernia
K43,Diseases of the digestive system,Hernia
K44,Diseases of the digestive system,Hernia
K45,Diseases of the digestive system,Hernia
K46,Diseases of the digestive system,Hernia
K50,Diseases of the digestive system,Noninfective enteritis and colitis
K51,Diseases of the digestive system,Noninfective enteritis and colitis
K52,Diseases of the digestive system,Noninfective enteritis and colitis
K55,Diseases of the digestive system,Other diseases of intestines
K56,Diseases of the digestive system,Other diseases of intestines
K57,Diseases of the digestive system,Other diseases of intestines
K58,Diseases of the digestive system,Other diseases of intestines
K59,Diseases of the digestive system,Other diseases of intestines
K60,Diseases of the digestive system,Other diseases of intestines
K61,Diseases of the digestive system,Other diseases of intestines
K62,Diseases of the digestive system,Other diseases of intestines
K63,Diseases of the digestive system,Other diseases of intestines
K64,Diseases of the digestive system,Other diseases of intestines
K65,Diseases of the digestive system,Diseases of peritoneum and retroperitoneum
K66,Diseases of the digestive system,Diseases of peritoneum and retroperitoneum
K67,Diseases of the digestive system,Diseases of peritoneum and retroperitoneum
K68,Diseases of the digestive system,Diseases of peritoneum and retroperitoneum
K70,Diseases of the digestive system,Diseases of liver
K71,Diseases of the digestive system,Diseases of liver
K72,Diseases of the digestive system,Diseases of liver
K73,Diseases of the digestive system,Diseases of liver
K74,Diseases of the digestive system,Diseases of liver
K75,Diseases of the digestive system,Diseases of liver
K76,Diseases of the digestive system,Diseases of liver
K77,Diseases of the digestive system,Diseases of liver
K80,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K81,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K82,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K83,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K84,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K85,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K86,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K87,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K90,Diseases of the digestive system,Other diseases of the digestive system
K91,Diseases of the digestive system,Other diseases of the digestive system
K92,Diseases of the digestive system,Other diseases of the digestive system
K93,Diseases of the digestive system,Other diseases of the digestive system
K94,Diseases of the digestive system,Other diseases of the digestive system
K95,Diseases of the digestive system,Other diseases of the digestive system
L00,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L01,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L02,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L03,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L04,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L05,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L06,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L07,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L08,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L10,Diseases of the skin and subcutaneous tissue,Bullous disorders
L11,Diseases of the skin and subcutaneous tissue,Bullous disorders
L12,Diseases of the skin and subcutaneous tissue,Bullous disorders
L13,Diseases of the skin and subcutaneous tissue,Bullous disorders
L14,Diseases of the skin and subcutaneous tissue,Bullous disorders
L20,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L21,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L22,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L23,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L24,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L25,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L26,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L27,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L28,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L29,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L30,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L40,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L41,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L42,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L43,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L44,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L45,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L49,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
L50,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
L51,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
L52,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
L53,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
L54,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
L55,Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue
L56,Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue
L57,Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue
L58,Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue
L59,Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue
L60,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L61,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L62,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L63,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L64,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L65,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L66,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L67,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L68,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L69,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L70,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L71,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L72,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L73,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L74,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L75,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L76,Diseases of the skin and subcutaneous tissue,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L80,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L81,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L82,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L83,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L84,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L85,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L86,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L87,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L88,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L89,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L90,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L91,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L92,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L93,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L94,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L95,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L96,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L97,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L98,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L99,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
M00,Diseases of the musculoskeletal system and connective tissue,Infectious arthropathies
M01,Diseases of the musculoskeletal system and connective tissue,Infectious arthropathies
